Data
Match State: Innings Break
19.6;W;Bravo to Zampa, OUT;Adam Zampa b Bravo 2 (9m 4b 0x4 0x6) SR: 50;
Match State: Innings Break
 Innings Start
19.5;2;Tye to Sammy, 2 runs;
19.4;1;Tye to Nurse, 1 run;
19.3;1lb;Tye to Sammy, 1 leg bye;
19.2;1;Tye to Nurse, 1 run;
19.1;?;Tye to Nurse, no run;
18.6;1;Marsh to Nurse, 1 run;
18.5;1;Marsh to Sammy, 1 run;
18.4;1;Marsh to Nurse, 1 run;
18.3;1;Marsh to Sammy, 1 run;
18.2;1;Marsh to Nurse, 1 run;
18.1;?;Marsh to Nurse, no run;
17.6;1;Watson to Nurse, 1 run;
17.5;1;Watson to Sammy, 1 run;
17.4;6;Watson to Sammy, SIX runs;
17.3;1lb;Watson to Nurse, 1 leg bye;
17.3;1w;Watson to Nurse, 1 wide;
17.2;4;Watson to Nurse, FOUR runs;
17.1;1;Watson to Sammy, 1 run;
16.6;2;Zampa to Nurse, 2 runs;
16.5;?;Zampa to Nurse, no run;
16.4;?;Zampa to Nurse, no run;
16.3;?;Zampa to Nurse, no run;
16.2;?;Zampa to Nurse, no run;
16.1;1;Zampa to Sammy, 1 run;
15.6;1;Tye to Sammy, 1 run;
15.5;4;Tye to Sammy, FOUR runs;
15.4;4;Tye to Sammy, FOUR runs;
15.3;W;Tye to Brathwaite, OUT;Carlos Brathwaite c Maxwell b Tye 33 (17m 14b 3x4 2x6) SR: 235.71;
15.2;4;Tye to Brathwaite, FOUR runs;
15.1;4;Tye to Brathwaite, FOUR runs;
14.6;4;Marsh to Sammy, FOUR runs;
14.5;1;Marsh to Brathwaite, 1 run;
14.4;4;Marsh to Brathwaite, FOUR runs;
14.3;1;Marsh to Sammy, 1 run;
14.2;1;Marsh to Brathwaite, 1 run;
14.1;6;Marsh to Brathwaite, SIX runs;
13.6;?;Hazlewood to Sammy, no run;
13.5;1;Hazlewood to Brathwaite, 1 run;
13.4;1;Hazlewood to Sammy, 1 run;
13.3;2;Hazlewood to Sammy, 2 runs;
13.2;4;Hazlewood to Sammy, FOUR runs;
13.1;1;Hazlewood to Brathwaite, 1 run;
12.6;2;Zampa to Sammy, 2 runs;
12.5;1;Zampa to Brathwaite, 1 run;
12.4;6;Zampa to Brathwaite, SIX runs;
12.3;1;Zampa to Sammy, 1 run;
12.2;1;Zampa to Brathwaite, 1 run;
12.1;2;Zampa to Brathwaite, 2 runs;
12.1;1w;Zampa to Brathwaite, 1 wide;
11.6;4;Tye to Sammy, FOUR runs;
11.5;1;Tye to Brathwaite, 1 run;
11.4;W;Tye to Russell, OUT;Andre Russell c Finch b Tye 29 (19m 15b 1x4 3x6) SR: 193.33;
11.3;6;Tye to Russell, SIX runs;
11.2;1;Tye to Sammy, 1 run;
11.1;2;Tye to Sammy, 2 runs;
10.6;1;Watson to Sammy, 1 run;
10.6;1w;Watson to Sammy, 1 wide;
10.5;?;Watson to Sammy, no run;
10.4;1;Watson to Russell, 1 run;
10.3;?;Watson to Russell, no run;
10.2;4;Watson to Russell, FOUR runs;
10.1;?;Watson to Russell, no run;
9.6;1;Marsh to Russell, 1 run;
9.5;?;Marsh to Russell, no run;
9.4;1;Marsh to Sammy, 1 run;
9.3;?;Marsh to Sammy, no run;
9.2;?;Marsh to Sammy, no run;
9.1;1;Marsh to Russell, 1 run;
8.6;4;Zampa to Sammy, FOUR runs;
8.5;W;Zampa to Ramdin, OUT;Denesh Ramdin lbw b Zampa 11 (20m 16b 1x4 0x6) SR: 68.75;
8.4;?;Zampa to Ramdin, no run;
8.3;4;Zampa to Ramdin, FOUR runs;
8.2;1;Zampa to Russell, 1 run;
8.1;6;Zampa to Russell, SIX runs;
7.6;2;Smith to Ramdin, 2 runs;
7.5;1;Smith to Russell, 1 run;
7.4;6;Smith to Russell, SIX runs;
7.3;2;Smith to Russell, 2 runs;
7.2;?;Smith to Russell, no run;
7.1;W;Smith to Charles, OUT;Johnson Charles c Maxwell b Smith 14 (31m 26b 2x4 0x6) SR: 53.84;
6.6;?;Zampa to Ramdin, no run;
6.5;1;Zampa to Charles, 1 run;
6.4;?;Zampa to Charles, no run;
6.3;1;Zampa to Ramdin, 1 run;
6.2;1;Zampa to Charles, 1 run;
6.1;?;Zampa to Charles, no run;
5.6;?;Hazlewood to Ramdin, no run;
5.5;?;Hazlewood to Ramdin, no run;
5.4;?;Hazlewood to Ramdin, no run;
5.3;?;Hazlewood to Ramdin, no run;
5.2;1;Hazlewood to Charles, 1 run;
5.1;1;Hazlewood to Ramdin, 1 run;
4.6;?;Marsh to Charles, no run;
4.5;1;Marsh to Ramdin, 1 run;
4.4;1;Marsh to Charles, 1 run;
4.3;1;Marsh to Ramdin, 1 run;
4.2;?;Marsh to Ramdin, no run;
4.1;?;Marsh to Ramdin, no run;
3.6;?;Hazlewood to Charles, no run;
3.5;1;Hazlewood to Ramdin, 1 run;
3.4;W;Hazlewood to Bravo, OUT;Dwayne Bravo b Hazlewood 0 (1m 1b 0x4 0x6) SR: 0;
3.3;W;Hazlewood to Samuels, OUT;Marlon Samuels b Hazlewood 0 (1m 1b 0x4 0x6) SR: 0;
3.2;W;Hazlewood to Holder, OUT;Jason Holder lbw b Hazlewood 6 (14m 3b 0x4 1x6) SR: 200;
3.1;1;Hazlewood to Charles, 1 run;
2.6;6;Watson to Holder, SIX runs;
2.5;1;Watson to Charles, 1 run;
2.4;4;Watson to Charles, FOUR runs;
2.3;?;Watson to Charles, no run;
2.2;?;Watson to Charles, no run;
2.1;?;Watson to Charles, no run;
1.6;1lb;Hazlewood to Charles, 1 leg bye;
1.5;?;Hazlewood to Charles, no run;
1.4;?;Hazlewood to Charles, no run;
1.3;?;Hazlewood to Charles, no run;
1.2;?;Hazlewood to Charles, no run;
1.1;1lb;Hazlewood to Holder, 1 leg bye;
0.6;?;Watson to Charles, no run;
0.5;?;Watson to Charles, no run;
0.4;?;Watson to Charles, no run;
0.3;?;Watson to Charles, no run;
0.2;4;Watson to Charles, FOUR runs;
0.1;?;Watson to Charles, no run;

 Innings Start
Kolkata, Mar 13 2016, West Indies tour of India
161/9
162/7
Player of the match is 
