Data
86.1;W;Starc to Dockrell, OUT;George Dockrell lbw b Starc 0 (19m 8b 0x4 0x6) SR: 0;
59.2;?;Lyon to Jones, no run;
59.1;2;Lyon to Jones, 2 runs;
58.6;?;Faulkner to Hildreth, no run;
58.5;?;Faulkner to Hildreth, no run;
58.4;?;Faulkner to Hildreth, no run;
58.3;?;Faulkner to Hildreth, no run;
58.2;4;Faulkner to Hildreth, FOUR runs;
58.1;?;Faulkner to Hildreth, no run;
81.6;?;Pattinson to Trego, no run;
81.5;?;Pattinson to Trego, no run;
81.4;?;Pattinson to Trego, no run;
81.3;?;Pattinson to Trego, no run;
81.2;W;Pattinson to Hildreth, OUT;James Hildreth lbw b Pattinson 66 (115m 93b 10x4 0x6) SR: 70.96;
81.1;?;Pattinson to Hildreth, no run;
80.6;?;Starc to Barrow, no run;
80.5;W;Starc to Kieswetter, OUT;Craig Kieswetter b Starc 4 (9m 9b 1x4 0x6) SR: 44.44;
80.4;?;Starc to Kieswetter, no run;
80.3;4;Starc to Kieswetter, FOUR runs;
80.2;1;Starc to Hildreth, 1 run;
80.1;?;Starc to Hildreth, no run;
57.6;?;Lyon to Jones, no run;
57.5;1;Lyon to Hildreth, 1 run;
57.4;?;Lyon to Hildreth, no run;
57.3;1;Lyon to Jones, 1 run;
57.2;?;Lyon to Jones, no run;
57.1;?;Lyon to Jones, no run;
56.6;?;Pattinson to Hildreth, no run;
56.5;?;Pattinson to Hildreth, no run;
56.4;1;Pattinson to Jones, 1 run;
56.3;2;Pattinson to Jones, 2 runs;
56.2;?;Pattinson to Jones, no run;
56.1;?;Pattinson to Jones, no run;
55.6;?;Lyon to Hildreth, no run;
55.5;?;Lyon to Hildreth, no run;
55.4;?;Lyon to Hildreth, no run;
55.3;1;Lyon to Jones, 1 run;
55.2;4;Lyon to Jones, FOUR runs;
55.1;?;Lyon to Jones, no run;
54.6;4;Pattinson to Hildreth, FOUR runs;
54.5;4;Pattinson to Hildreth, FOUR runs;
54.4;?;Pattinson to Hildreth, no run;
54.3;3;Pattinson to Jones, 3 runs;
54.2;?;Pattinson to Jones, no run;
54.1;4;Pattinson to Jones, FOUR runs;
53.6;?;Lyon to Hildreth, no run;
53.5;2;Lyon to Hildreth, 2 runs;
53.4;4;Lyon to Hildreth, FOUR runs;
53.3;?;Lyon to Hildreth, no run;
53.2;?;Lyon to Hildreth, no run;
53.1;?;Lyon to Hildreth, no run;
52.6;?;Pattinson to Jones, no run;
52.5;?;Pattinson to Jones, no run;
52.4;?;Pattinson to Jones, no run;
52.3;1;Pattinson to Hildreth, 1 run;
52.2;?;Pattinson to Hildreth, no run;
52.1;?;Pattinson to Hildreth, no run;
51.6;?;Lyon to Jones, no run;
51.5;?;Lyon to Jones, no run;
51.4;?;Lyon to Jones, no run;
51.3;?;Lyon to Jones, no run;
51.2;1;Lyon to Hildreth, 1 run;
51.1;?;Lyon to Hildreth, no run;
50.6;?;Faulkner to Jones, no run;
50.5;?;Faulkner to Jones, no run;
50.4;4;Faulkner to Jones, FOUR runs;
50.3;?;Faulkner to Jones, no run;
50.2;?;Faulkner to Jones, no run;
50.1;?;Faulkner to Jones, no run;
49.6;W;Lyon to Compton, OUT;Nick Compton c Clarke b Lyon 81 (210m 144b 13x4 0x6) SR: 56.25;
49.5;?;Lyon to Compton, no run;
49.4;?;Lyon to Compton, no run;
49.3;1;Lyon to Jones, 1 run;
49.2;?;Lyon to Jones, no run;
49.1;?;Lyon to Jones, no run;
48.6;4;Faulkner to Compton, FOUR runs;
48.5;?;Faulkner to Compton, no run;
48.4;?;Faulkner to Compton, no run;
48.3;?;Faulkner to Compton, no run;
48.2;?;Faulkner to Compton, no run;
48.1;?;Faulkner to Compton, no run;
47.6;?;Lyon to Jones, no run;
47.5;?;Lyon to Jones, no run;
47.4;?;Lyon to Jones, no run;
47.3;?;Lyon to Jones, no run;
47.2;?;Lyon to Jones, no run;
47.1;?;Lyon to Jones, no run;
46.6;?;Faulkner to Compton, no run;
46.5;?;Faulkner to Compton, no run;
46.4;?;Faulkner to Compton, no run;
46.4;1nb;Faulkner to Compton, (no ball);
46.3;?;Faulkner to Compton, no run;
46.2;?;Faulkner to Compton, no run;
46.1;?;Faulkner to Compton, no run;
45.6;?;Lyon to Jones, no run;
45.5;4;Lyon to Jones, FOUR runs;
45.4;?;Lyon to Jones, no run;
45.3;?;Lyon to Jones, no run;
45.2;?;Lyon to Jones, no run;
45.1;1;Lyon to Compton, 1 run;
44.6;?;Faulkner to Jones, no run;
44.5;4;Faulkner to Jones, FOUR runs;
44.4;4;Faulkner to Jones, FOUR runs;
44.3;1;Faulkner to Compton, 1 run;
44.2;?;Faulkner to Compton, no run;
44.1;?;Faulkner to Compton, no run;
43.6;4;Lyon to Jones, FOUR runs;
43.5;?;Lyon to Jones, no run;
43.4;?;Lyon to Jones, no run;
43.3;?;Lyon to Jones, no run;
43.2;?;Lyon to Jones, no run;
43.1;?;Lyon to Jones, no run;
42.6;?;Faulkner to Compton, no run;
42.5;1lb;Faulkner to Jones, 1 leg bye;
42.4;?;Faulkner to Jones, no run;
42.3;?;Faulkner to Jones, no run;
42.2;?;Faulkner to Jones, no run;
42.1;?;Faulkner to Jones, no run;
41.6;?;Siddle to Compton, no run;
41.5;2;Siddle to Compton, 2 runs;
41.4;?;Siddle to Compton, no run;
41.3;?;Siddle to Compton, no run;
41.2;5nb;Siddle to Compton, (no ball) FOUR runs;
41.2;?;Siddle to Compton, no run;
41.1;?;Siddle to Compton, no run;
40.6;?;Khawaja to Jones, no run;
40.5;4;Khawaja to Jones, FOUR runs;
40.4;1;Khawaja to Compton, 1 run;
40.3;1;Khawaja to Jones, 1 run;
40.2;?;Khawaja to Jones, no run;
40.1;1;Khawaja to Compton, 1 run;
39.6;?;Siddle to Jones, no run;
39.5;1;Siddle to Compton, 1 run;
39.4;?;Siddle to Compton, no run;
39.3;4;Siddle to Compton, FOUR runs;
39.2;?;Siddle to Compton, no run;
39.1;?;Siddle to Compton, no run;
38.6;4lb;Starc to Jones, 4 leg byes;
38.5;?;Starc to Jones, no run;
38.4;?;Starc to Jones, no run;
38.3;?;Starc to Jones, no run;
38.2;?;Starc to Jones, no run;
38.1;?;Starc to Jones, no run;
37.6;?;Siddle to Compton, no run;
37.5;?;Siddle to Compton, no run;
37.4;4;Siddle to Compton, FOUR runs;
37.3;4;Siddle to Compton, FOUR runs;
37.2;?;Siddle to Compton, no run;
37.1;?;Siddle to Compton, no run;
36.6;?;Starc to Jones, no run;
36.5;?;Starc to Jones, no run;
36.4;?;Starc to Jones, no run;
36.3;?;Starc to Jones, no run;
36.2;?;Starc to Jones, no run;
36.1;?;Starc to Jones, no run;
35.6;1;Pattinson to Jones, 1 run;
35.5;4;Pattinson to Jones, FOUR runs;
35.4;?;Pattinson to Jones, no run;
35.3;?;Pattinson to Jones, no run;
35.2;4;Pattinson to Jones, FOUR runs;
35.1;1;Pattinson to Compton, 1 run;
34.6;?;Starc to Jones, no run;
34.5;?;Starc to Jones, no run;
34.4;4;Starc to Jones, FOUR runs;
34.3;4;Starc to Jones, FOUR runs;
34.2;?;Starc to Jones, no run;
34.1;1;Starc to Compton, 1 run;
33.6;?;Pattinson to Jones, no run;
33.5;1;Pattinson to Compton, 1 run;
33.4;?;Pattinson to Compton, no run;
33.3;1;Pattinson to Jones, 1 run;
33.2;?;Pattinson to Jones, no run;
33.1;?;Pattinson to Jones, no run;
32.6;?;Starc to Compton, no run;
32.5;?;Starc to Compton, no run;
32.4;?;Starc to Compton, no run;
32.3;4b;Starc to Compton, 4 byes;
32.2;?;Starc to Compton, no run;
32.1;?;Starc to Compton, no run;
31.6;?;Pattinson to Jones, no run;
31.5;?;Pattinson to Jones, no run;
31.4;?;Pattinson to Jones, no run;
31.3;1;Pattinson to Compton, 1 run;
31.2;?;Pattinson to Compton, no run;
31.1;?;Pattinson to Compton, no run;
30.6;?;Starc to Jones, no run;
30.5;?;Starc to Jones, no run;
30.4;?;Starc to Jones, no run;
30.3;?;Starc to Jones, no run;
30.2;?;Starc to Jones, no run;
30.1;?;Starc to Jones, no run;
29.6;?;Pattinson to Compton, no run;
29.5;?;Pattinson to Compton, no run;
29.4;?;Pattinson to Compton, no run;
29.3;?;Pattinson to Compton, no run;
29.2;?;Pattinson to Compton, no run;
29.1;?;Pattinson to Compton, no run;
28.6;?;Starc to Jones, no run;
28.5;4;Starc to Jones, FOUR runs;
28.4;?;Starc to Jones, no run;
28.3;?;Starc to Jones, no run;
28.2;?;Starc to Jones, no run;
28.1;?;Starc to Jones, no run;
27.6;?;Pattinson to Compton, no run;
27.5;?;Pattinson to Compton, no run;
27.4;1;Pattinson to Jones, 1 run;
27.3;?;Pattinson to Jones, no run;
27.2;1;Pattinson to Compton, 1 run;
27.1;?;Pattinson to Compton, no run;
26.6;?;Starc to Jones, no run;
26.5;?;Starc to Jones, no run;
26.4;?;Starc to Jones, no run;
26.3;?;Starc to Jones, no run;
26.2;?;Starc to Jones, no run;
26.1;?;Starc to Jones, no run;
25.6;?;Lyon to Compton, no run;
25.5;?;Lyon to Compton, no run;
25.4;?;Lyon to Compton, no run;
25.3;?;Lyon to Compton, no run;
25.2;?;Lyon to Compton, no run;
25.1;?;Lyon to Compton, no run;
24.6;3;Siddle to Compton, 3 runs;
24.5;?;Siddle to Compton, no run;
24.4;?;Siddle to Compton, no run;
24.3;1;Siddle to Jones, 1 run;
24.2;4;Siddle to Jones, FOUR runs;
24.1;?;Siddle to Jones, no run;
23.6;2;Lyon to Compton, 2 runs;
23.5;?;Lyon to Compton, no run;
23.4;?;Lyon to Compton, no run;
23.3;4;Lyon to Compton, FOUR runs;
23.2;?;Lyon to Compton, no run;
23.1;?;Lyon to Compton, no run;
22.6;?;Siddle to Jones, no run;
22.5;?;Siddle to Jones, no run;
22.5;1nb;Siddle to Jones, (no ball);
22.4;?;Siddle to Jones, no run;
22.3;?;Siddle to Jones, no run;
22.2;1;Siddle to Compton, 1 run;
22.1;?;Siddle to Compton, no run;
21.6;?;Lyon to Jones, no run;
21.5;?;Lyon to Jones, no run;
21.4;?;Lyon to Jones, no run;
21.3;?;Lyon to Jones, no run;
21.2;?;Lyon to Jones, no run;
21.1;1;Lyon to Compton, 1 run;
20.6;1;Faulkner to Compton, 1 run;
20.5;?;Faulkner to Compton, no run;
20.4;?;Faulkner to Compton, no run;
20.3;1;Faulkner to Jones, 1 run;
20.2;?;Faulkner to Jones, no run;
20.1;?;Faulkner to Jones, no run;
19.6;?;Lyon to Compton, no run;
19.5;1;Lyon to Jones, 1 run;
19.4;?;Lyon to Jones, no run;
19.3;?;Lyon to Jones, no run;
19.2;?;Lyon to Jones, no run;
19.1;?;Lyon to Jones, no run;
18.6;4;Faulkner to Compton, FOUR runs;
18.5;?;Faulkner to Compton, no run;
18.4;?;Faulkner to Compton, no run;
18.3;?;Faulkner to Compton, no run;
18.2;?;Faulkner to Compton, no run;
18.1;?;Faulkner to Compton, no run;
17.6;?;Siddle to Jones, no run;
17.5;?;Siddle to Jones, no run;
17.5;1nb;Siddle to Jones, (no ball);
17.4;?;Siddle to Jones, no run;
17.3;?;Siddle to Jones, no run;
17.2;?;Siddle to Jones, no run;
17.1;4;Siddle to Jones, FOUR runs;
16.6;4;Faulkner to Compton, FOUR runs;
16.5;?;Faulkner to Compton, no run;
16.4;1;Faulkner to Jones, 1 run;
16.3;?;Faulkner to Jones, no run;
16.2;?;Faulkner to Jones, no run;
16.1;1;Faulkner to Compton, 1 run;

 Innings Start
75.1;1;Dockrell to Hughes, 1 run;
74.6;?;Meschede to Faulkner, no run;
74.5;?;Meschede to Faulkner, no run;
74.4;?;Meschede to Faulkner, no run;
74.3;?;Meschede to Faulkner, no run;
74.2;1;Meschede to Hughes, 1 run;
74.1;1;Meschede to Faulkner, 1 run;
73.6;?;Dockrell to Hughes, no run;
73.5;1;Dockrell to Faulkner, 1 run;
73.4;?;Dockrell to Faulkner, no run;
73.3;1;Dockrell to Hughes, 1 run;
73.2;?;Dockrell to Hughes, no run;
73.1;?;Dockrell to Hughes, no run;
72.6;2;Meschede to Faulkner, 2 runs;
72.5;?;Meschede to Faulkner, no run;
72.4;?;Meschede to Faulkner, no run;
72.3;4;Meschede to Faulkner, FOUR runs;
72.2;?;Meschede to Faulkner, no run;
72.1;?;Meschede to Faulkner, no run;
71.6;1;Dockrell to Faulkner, 1 run;
71.5;2;Dockrell to Faulkner, 2 runs;
71.4;4;Dockrell to Faulkner, FOUR runs;
71.3;?;Dockrell to Faulkner, no run;
71.2;?;Dockrell to Faulkner, no run;
71.1;?;Dockrell to Faulkner, no run;
70.6;?;Meschede to Hughes, no run;
70.5;?;Meschede to Hughes, no run;
70.4;?;Meschede to Hughes, no run;
70.3;4;Meschede to Hughes, FOUR runs;
70.2;?;Meschede to Hughes, no run;
70.1;?;Meschede to Hughes, no run;
69.6;?;Hussain to Faulkner, no run;
69.5;1;Hussain to Hughes, 1 run;
69.4;?;Hussain to Hughes, no run;
69.3;?;Hussain to Hughes, no run;
69.2;4;Hussain to Hughes, FOUR runs;
69.1;4;Hussain to Hughes, FOUR runs;
68.6;?;Meschede to Faulkner, no run;
68.5;?;Meschede to Faulkner, no run;
68.4;?;Meschede to Faulkner, no run;
68.3;?;Meschede to Faulkner, no run;
68.2;?;Meschede to Faulkner, no run;
68.1;?;Meschede to Faulkner, no run;
67.6;?;Hussain to Hughes, no run;
67.5;?;Hussain to Hughes, no run;
67.4;?;Hussain to Hughes, no run;
67.3;4;Hussain to Hughes, FOUR runs;
67.2;4;Hussain to Hughes, FOUR runs;
67.1;?;Hussain to Hughes, no run;
66.6;1;Overton to Hughes, 1 run;
66.5;?;Overton to Hughes, no run;
66.4;?;Overton to Hughes, no run;
66.3;1;Overton to Faulkner, 1 run;
66.2;?;Overton to Faulkner, no run;
66.1;?;Overton to Faulkner, no run;
65.6;1;Hussain to Faulkner, 1 run;
65.5;?;Hussain to Faulkner, no run;
65.4;?;Hussain to Faulkner, no run;
65.3;1lb;Hussain to Hughes, 1 leg bye;
65.2;?;Hussain to Hughes, no run;
65.1;?;Hussain to Hughes, no run;
64.6;?;Overton to Faulkner, no run;
64.5;?;Overton to Faulkner, no run;
64.4;2;Overton to Faulkner, 2 runs;
64.3;2;Overton to Faulkner, 2 runs;
64.2;?;Overton to Faulkner, no run;
64.1;?;Overton to Faulkner, no run;
63.6;2;Hussain to Hughes, 2 runs;
63.5;?;Hussain to Hughes, no run;
63.4;?;Hussain to Hughes, no run;
63.3;?;Hussain to Hughes, no run;
63.2;2;Hussain to Hughes, 2 runs;
63.1;2;Hussain to Hughes, 2 runs;
62.6;1;Overton to Hughes, 1 run;
62.5;1;Overton to Faulkner, 1 run;
62.4;?;Overton to Faulkner, no run;
62.3;?;Overton to Faulkner, no run;
62.2;?;Overton to Faulkner, no run;
62.1;W;Overton to Haddin, OUT;Brad Haddin lbw b Overton 38 (60m 66b 5x4 2x6) SR: 57.57;
61.6;?;Dockrell to Hughes, no run;
61.5;?;Dockrell to Hughes, no run;
61.4;?;Dockrell to Hughes, no run;
61.3;?;Dockrell to Hughes, no run;
61.2;?;Dockrell to Hughes, no run;
61.1;?;Dockrell to Hughes, no run;
60.6;?;Hussain to Haddin, no run;
60.5;?;Hussain to Haddin, no run;
60.4;?;Hussain to Haddin, no run;
60.3;?;Hussain to Haddin, no run;
60.2;?;Hussain to Haddin, no run;
60.1;?;Hussain to Haddin, no run;
59.6;?;Dockrell to Hughes, no run;
59.5;?;Dockrell to Hughes, no run;
59.4;?;Dockrell to Hughes, no run;
59.3;1;Dockrell to Haddin, 1 run;
59.2;2lb;Dockrell to Haddin, 2 leg byes;
59.1;?;Dockrell to Haddin, no run;
58.6;?;Hussain to Hughes, no run;
58.5;?;Hussain to Hughes, no run;
58.4;?;Hussain to Hughes, no run;
58.3;1;Hussain to Haddin, 1 run;
58.2;?;Hussain to Haddin, no run;
58.1;1;Hussain to Hughes, 1 run;
57.6;4;Dockrell to Haddin, FOUR runs;
57.5;?;Dockrell to Haddin, no run;
57.4;?;Dockrell to Haddin, no run;
57.3;?;Dockrell to Haddin, no run;
57.2;?;Dockrell to Haddin, no run;
57.1;6;Dockrell to Haddin, SIX runs;
56.6;?;Hussain to Hughes, no run;
56.5;2;Hussain to Hughes, 2 runs;
56.4;?;Hussain to Hughes, no run;
56.3;?;Hussain to Hughes, no run;
56.2;?;Hussain to Hughes, no run;
56.1;?;Hussain to Hughes, no run;
55.6;?;Dockrell to Haddin, no run;
55.5;?;Dockrell to Haddin, no run;
55.4;?;Dockrell to Haddin, no run;
55.3;?;Dockrell to Haddin, no run;
55.2;?;Dockrell to Haddin, no run;
55.1;?;Dockrell to Haddin, no run;
54.6;?;Hussain to Hughes, no run;
54.5;1;Hussain to Haddin, 1 run;
54.4;?;Hussain to Haddin, no run;
54.3;?;Hussain to Haddin, no run;
54.2;1;Hussain to Hughes, 1 run;
54.1;?;Hussain to Hughes, no run;
53.6;?;Dockrell to Haddin, no run;
53.5;?;Dockrell to Haddin, no run;
53.4;?;Dockrell to Haddin, no run;
53.3;4;Dockrell to Haddin, FOUR runs;
53.2;1;Dockrell to Hughes, 1 run;
53.1;?;Dockrell to Hughes, no run;
52.6;?;Meschede to Haddin, no run;
52.5;?;Meschede to Haddin, no run;
52.4;?;Meschede to Haddin, no run;
52.3;?;Meschede to Haddin, no run;
52.2;?;Meschede to Haddin, no run;
52.1;?;Meschede to Haddin, no run;
51.6;?;Dockrell to Hughes, no run;
51.5;?;Dockrell to Hughes, no run;
51.4;2;Dockrell to Hughes, 2 runs;
51.3;?;Dockrell to Hughes, no run;
51.2;?;Dockrell to Hughes, no run;
51.1;?;Dockrell to Hughes, no run;
50.6;?;Meschede to Haddin, no run;
50.5;?;Meschede to Haddin, no run;
50.4;?;Meschede to Haddin, no run;
50.3;?;Meschede to Haddin, no run;
50.2;?;Meschede to Haddin, no run;
50.1;?;Meschede to Haddin, no run;
49.6;?;Dockrell to Hughes, no run;
49.5;1;Dockrell to Haddin, 1 run;
49.4;?;Dockrell to Haddin, no run;
49.3;?;Dockrell to Haddin, no run;
49.2;1;Dockrell to Hughes, 1 run;
49.1;?;Dockrell to Hughes, no run;
48.6;?;Meschede to Haddin, no run;
48.5;?;Meschede to Haddin, no run;
48.4;4;Meschede to Haddin, FOUR runs;
48.3;?;Meschede to Haddin, no run;
48.2;?;Meschede to Haddin, no run;
48.1;1lb;Meschede to Hughes, 1 leg bye;
47.6;?;Dockrell to Haddin, no run;
47.5;?;Dockrell to Haddin, no run;
47.4;?;Dockrell to Haddin, no run;
47.3;6;Dockrell to Haddin, SIX runs;
47.2;?;Dockrell to Haddin, no run;
47.1;4;Dockrell to Haddin, FOUR runs;
46.6;?;Meschede to Hughes, no run;
46.5;4;Meschede to Hughes, FOUR runs;
46.4;?;Meschede to Hughes, no run;
46.3;?;Meschede to Hughes, no run;
46.2;?;Meschede to Hughes, no run;
46.1;?;Meschede to Hughes, no run;
45.6;?;Dockrell to Haddin, no run;
45.5;?;Dockrell to Haddin, no run;
45.4;?;Dockrell to Haddin, no run;
45.3;?;Dockrell to Haddin, no run;
45.2;4;Dockrell to Haddin, FOUR runs;
45.1;?;Dockrell to Haddin, no run;
44.6;1;Meschede to Haddin, 1 run;
44.5;1;Meschede to Hughes, 1 run;
44.4;1;Meschede to Haddin, 1 run;
44.3;?;Meschede to Haddin, no run;
44.2;W;Meschede to Clarke, OUT;Michael Clarke c ?Barrow b Meschede 45 (110m 95b 7x4 0x6) SR: 47.36;
44.1;?;Meschede to Clarke, no run;
43.6;?;Dockrell to Hughes, no run;
43.5;?;Dockrell to Hughes, no run;
43.4;4;Dockrell to Hughes, FOUR runs;
43.3;?;Dockrell to Hughes, no run;
43.2;1;Dockrell to Clarke, 1 run;
43.1;?;Dockrell to Clarke, no run;
42.6;1;Meschede to Clarke, 1 run;
42.5;?;Meschede to Clarke, no run;
42.4;1;Meschede to Hughes, 1 run;
42.3;?;Meschede to Hughes, no run;
42.2;4;Meschede to Hughes, FOUR runs;
42.1;?;Meschede to Hughes, no run;
41.6;?;Dockrell to Clarke, no run;
41.5;?;Dockrell to Clarke, no run;
41.4;?;Dockrell to Clarke, no run;
41.3;?;Dockrell to Clarke, no run;
41.2;?;Dockrell to Clarke, no run;
41.1;?;Dockrell to Clarke, no run;
40.6;?;Meschede to Hughes, no run;
40.5;?;Meschede to Hughes, no run;
40.4;1;Meschede to Clarke, 1 run;
40.3;?;Meschede to Clarke, no run;
40.2;?;Meschede to Clarke, no run;
40.1;?;Meschede to Clarke, no run;
39.6;?;Dockrell to Hughes, no run;
39.5;?;Dockrell to Hughes, no run;
39.4;1;Dockrell to Clarke, 1 run;
39.3;?;Dockrell to Clarke, no run;
39.2;?;Dockrell to Clarke, no run;
39.1;?;Dockrell to Clarke, no run;
38.6;4;Overton to Hughes, FOUR runs;
38.6;1nb;Overton to Hughes, (no ball);
38.5;?;Overton to Hughes, no run;
38.4;?;Overton to Hughes, no run;
38.3;?;Overton to Hughes, no run;
38.3;2nb;Overton to Clarke, (no ball) 1 run;
38.2;2;Overton to Clarke, 2 runs;
38.1;?;Overton to Clarke, no run;
37.6;?;Dockrell to Hughes, no run;
37.5;?;Dockrell to Hughes, no run;
37.4;1;Dockrell to Clarke, 1 run;
37.3;?;Dockrell to Clarke, no run;
37.2;?;Dockrell to Clarke, no run;
37.1;?;Dockrell to Clarke, no run;
36.6;?;Overton to Hughes, no run;
36.5;1;Overton to Clarke, 1 run;
36.4;4;Overton to Clarke, FOUR runs;
36.3;4;Overton to Clarke, FOUR runs;
36.2;?;Overton to Clarke, no run;
36.1;?;Overton to Clarke, no run;
35.6;?;Dockrell to Hughes, no run;
35.5;1;Dockrell to Clarke, 1 run;
35.4;?;Dockrell to Clarke, no run;
35.3;?;Dockrell to Clarke, no run;
35.2;1;Dockrell to Hughes, 1 run;
35.1;?;Dockrell to Hughes, no run;
34.6;?;Overton to Clarke, no run;
34.5;?;Overton to Clarke, no run;
34.4;?;Overton to Clarke, no run;
34.3;?;Overton to Clarke, no run;
34.2;1;Overton to Hughes, 1 run;
34.1;4;Overton to Hughes, FOUR runs;
33.6;?;Dockrell to Clarke, no run;
33.5;?;Dockrell to Clarke, no run;
33.4;3lb;Dockrell to Hughes, 3 leg byes;
33.3;?;Dockrell to Hughes, no run;
33.2;4;Dockrell to Hughes, FOUR runs;
33.1;?;Dockrell to Hughes, no run;
32.6;?;Overton to Clarke, no run;
32.5;?;Overton to Clarke, no run;
32.4;2;Overton to Clarke, 2 runs;
32.3;?;Overton to Clarke, no run;
32.2;4;Overton to Clarke, FOUR runs;
32.1;1;Overton to Hughes, 1 run;
31.6;?;Dockrell to Clarke, no run;
31.5;1;Dockrell to Hughes, 1 run;
31.4;?;Dockrell to Hughes, no run;
31.3;2;Dockrell to Hughes, 2 runs;
31.2;?;Dockrell to Hughes, no run;
31.1;?;Dockrell to Hughes, no run;
30.6;?;Overton to Clarke, no run;
30.5;?;Overton to Clarke, no run;
30.4;?;Overton to Clarke, no run;
30.3;?;Overton to Clarke, no run;
30.2;4;Overton to Clarke, FOUR runs;
30.1;?;Overton to Clarke, no run;
29.6;?;Dockrell to Hughes, no run;
29.5;?;Dockrell to Hughes, no run;
29.4;1;Dockrell to Clarke, 1 run;
29.3;?;Dockrell to Clarke, no run;
29.2;?;Dockrell to Clarke, no run;
29.1;?;Dockrell to Clarke, no run;
28.6;?;Overton to Hughes, no run;
28.5;4;Overton to Hughes, FOUR runs;
28.4;?;Overton to Hughes, no run;
28.3;W;Overton to Watson, OUT;Shane Watson c Trego b Overton 90 (119m 94b 20x4 0x6) SR: 95.74;
28.2;?;Overton to Watson, no run;
28.1;4;Overton to Watson, FOUR runs;
27.6;1;Dockrell to Watson, 1 run;
27.5;?;Dockrell to Watson, no run;
27.4;?;Dockrell to Watson, no run;
27.3;4;Dockrell to Watson, FOUR runs;
27.2;1;Dockrell to Clarke, 1 run;
27.1;4;Dockrell to Clarke, FOUR runs;
26.6;?;Trego to Watson, no run;
26.5;?;Trego to Watson, no run;
26.4;?;Trego to Watson, no run;
26.3;?;Trego to Watson, no run;
26.2;?;Trego to Watson, no run;
26.1;4;Trego to Watson, FOUR runs;
25.6;?;Dockrell to Clarke, no run;
25.5;?;Dockrell to Clarke, no run;
25.4;?;Dockrell to Clarke, no run;
25.3;1;Dockrell to Watson, 1 run;
25.2;?;Dockrell to Watson, no run;
25.1;?;Dockrell to Watson, no run;
24.6;4;Trego to Clarke, FOUR runs;
24.5;?;Trego to Clarke, no run;
24.5;1nb;Trego to Clarke, (no ball);
24.4;?;Trego to Clarke, no run;
24.3;?;Trego to Clarke, no run;
24.2;?;Trego to Clarke, no run;
24.1;?;Trego to Clarke, no run;
23.6;4;Dockrell to Watson, FOUR runs;
23.5;?;Dockrell to Watson, no run;
23.4;?;Dockrell to Watson, no run;
23.3;?;Dockrell to Watson, no run;
23.2;?;Dockrell to Watson, no run;
23.1;?;Dockrell to Watson, no run;
22.6;?;Trego to Clarke, no run;
22.5;?;Trego to Clarke, no run;
22.4;?;Trego to Clarke, no run;
22.3;?;Trego to Clarke, no run;
22.2;?;Trego to Clarke, no run;
22.1;?;Trego to Clarke, no run;
21.6;4;Meschede to Watson, FOUR runs;
21.5;?;Meschede to Watson, no run;
21.4;?;Meschede to Watson, no run;
21.3;4;Meschede to Watson, FOUR runs;
21.2;4;Meschede to Watson, FOUR runs;
21.1;4;Meschede to Watson, FOUR runs;
20.6;?;Trego to Clarke, no run;
20.5;?;Trego to Clarke, no run;
20.4;?;Trego to Clarke, no run;
20.3;?;Trego to Clarke, no run;
