Data
Chanderpaul and Gayle stroll, casually, out into the middle. No rush. Smallish crowd so far, just a sprinkling around the ground, but it will no doubt fill up quickly...and very quickly if (Chris) Gayle Force blows in.
Here come Australia, jogging out into the middle under a pleasingly cloud-free sky. We're in for a cracker here today. Just waiting for the two West Indian openers now...
Right, chaps. Thanks to all the UK readers who've written to say the GMT time is wrong. Actually, it's right - we're now on BST (British Summer Time) which is a different thing. 14.20BST is 13.20GMT. As you were.
Bob Willis is looking decidedly pink on television. He hasn't quite perfected David Gower's uber-smooth "I was born to present cricket from the beach" look. Mind you, he really has mastered that particular art.
"Tait and Bracken will blow the Windies away," roars the alliteratively named Big Brummie Bob. "Nice damp track, ball swinging around at 95mph - too much for the hosts I am afraid. West Indies less than 100 all out..." Fierce comments. We're ten minutes away from starting, barring a sudden monsoon, so hang around.
08.50
Good morning, g'afternoon and good evening to all. Jamie's fallen off his perch, so it'll me, Will Luke, and Jenny Thompson to take you through today's match (half of it, anyway). We're very excited and trust you are too. The good news is the rain has, at last, relented; in the words of our esteemed editor, Andrew Miller, "blue skies and fluffiness abound". We'll have more erudite observations from him, and us, shortly.
Rain delays play. Stumps
So thats all for today, folks. I shall be back with the action for you tomorrow at 13:30 GMT. Until then, good night/evening/afternoon/morning to all of you who've logged on, wherever you may be. Cheers!
16:01 local, 20:01 GMT Play has been postponed until tomorrow. The target for West Indies will indeed be 323 from 50 overs. Thats because Australia played out a full 50 overs.
15:53 local, 19:53 GMT Bad news, the drizzle is back and the covers are going back on. That should be that for the day. Just 32 minutes till the cut-off time.
15:45 local, 19:45 GMT Okay, I have news for all of you. The target, for West Indies, has been set as 163 from 20 overs. Hmmm...the only question remains the start time. Thats not been confirmed. I doubt they'll get 20 overs in. The Aussies are on the outfield getting ready, so something is happening...
15:41 local, 19:41 GMT Whats this? The covers are coming off...will they have a go at this? A little smashathon? I'll feed you details as they come in...
Did Omair's poetry have anything to do with this?
Andrew: "It's very humid out there, but the mizzle does seem to have stopped. Pretty dark too, but then that's been the case all day."
Let me remind you that you can now watch an animated representation of our commentary on Cricinfo 3D. It uses all our scoring data to render a 3d representation of the game, with various camera angles for you to play around with, and it has features such as wagon wheels, pitch maps, and the live scorecard. There are also replays after every wicket and boundary on demand, as well as celebrations for wickets. Oh, and it's free. Click away.
15:34 local, 19:34 GMT Andrew and his posse at the ground reckon the latest restart has to be 4.25pm local, for a 20-over slog. Interesting.
15:22 local, 19:22 GMT Andrew again: "The groundstaff are loitering but to no great avail. I think we're going to have to conclude this one tomorrow. The latest we can play is until 5.45pm local, according to those in the know. It's currently 3.20pm. And with 20 overs required to constitute a game, they'll need to get started within the hour."
Definitely not good news for the fans out there right now. That means, probably, that if there's no play today, West Indies will still chase 323 with a full 50 overs tomorrow. And thats only if a calculation has been made that they stick to that.
As we kill time, here's a little ditty from one of our readers, Omair Shamim, who picked up on - nay, was inspired by - Andrew's update:
"Its really a crapy mizzle
Its barely even a drizzle
But there is so much water on the covers
There is not point to "muscle"
Still a generous crowd waiting
Just for umpire to give whistle"
See what free time can do to a man? Can we get the game going please...
14:53 local, 18:53 GMT Andrew Miller, from the ground, buzzes: "It's a really crappy mizzle. It's barely even raining, but with so much water already on the covers there's no point in trying to mop up. Still a generous crowd waiting patiently on the grass banks though." Well, there you have it.
14:33 local, 18:33 GMT Theres no let-up. The covers remain on the square. Players still inside.
13:59 local, 17:59 GMT The rain has returned, and the waiting game begins. Watch this space for further updates. I cannot give you an idea as to how long play will be suspended. Its a drizzle.
Please do have a look at our guide to the Super Eights. It will help clarify alot of the questions that are coming in.
47.4;1;Bravo to Watson, 1 run overpitched outside off stump, Watson drives along the ground of mid-off;
47.3;?;Bravo to Watson, no run well bowled! Slower one just outside off stump deceives Watson, that was so close to off stump;
47.2;?;Bravo to Watson, no run slower ball again, outside off stump, Watson looks for that cheeky paddle around the corner as he moves across to off, but cant pull it off;
47.1;W;Bravo to Hayden, OUT full in the zone, no room to work with, and Hayden scoops this in the air straight down the throat of Samuels at long-off, and an excellent innings comes to an end;Matthew Hayden c Samuels b Bravo 158 (216m 143b 14x4 4x6) SR: 110.48;
46.6;?;Collymore to Watson, no run slower ball, on a yorker length just outside off stump and Watson is beaten on the drive;
46.5;6;Collymore to Watson, SIX runs great improvisation from Watson! Ambles across to off, goes down on one knee, and scoops this high around the corner for six! Top shot!;
46.4;1;Collymore to Hayden, 1 run full on middle and leg, he drives via an inside-edge to square leg;
46.3;4;Collymore to Hayden, FOUR runs aha! Hayden! Gives himself room outside leg stump and smashes this through the covers for four;
46.2;1lb;Collymore to Watson, 1 leg bye drifting down leg, Watson stands and eyes the deep midwicket ropes, swings at it but ends up with a leg-bye to the off side;
46.1;1;Collymore to Hayden, 1 run overpitched outside off stump, driven to Lara at cover and sets off immediately for the run;
39.6;?;Samuels to Hussey, no run quicker one again, Hussey tries to dab it and gets beaten;
39.5;?;Samuels to Hussey, no run quicker one outside off stump, checked drive into the covers;
39.4;1;Samuels to Hayden, 1 run slower one, tossed up, Hayden waits for it and then opens the face to place it in front of backward point for a single;
39.3;1;Samuels to Hussey, 1 run flat in the blockhole, Hussey manages to chip it into midwicket for one;
39.3;1w;Samuels to Hussey, 1 wide he tries too much and ends up firing one well wide of off stump for a wide;
39.2;1;Samuels to Hayden, 1 run tossed up, he gets to the length and punches down to long-off;
39.1;?;Samuels to Hayden, no run width offered, he cuts but ends up chopping into the ground before point;
38.6;?;Powell to Hussey, no run beaten by the slower one, angled across off stump, as he stands and dabs the bat at it;
38.5;1;Powell to Hayden, 1 run fuller one outside off stump, Hayden frees the arms and drives into the covers where Lara drives to his left and saves three runs;
38.4;?;Powell to Hayden, no run well bowled, in the blockhole, Hayden rolls the wrists over it to jam it out;
38.3;2;Powell to Hayden, 2 runs fuller one angled across off stump, Hayden stands rooted and squeezes two out past backward point;
38.2;1;Powell to Hussey, 1 run fuller on off stump, taken on the full and driven down to long-off;
38.1;4;Powell to Hussey, FOUR runs shot! Short outside off stump and Hussey pulls off the front foot, slamming it over midwicket for four!;
37.6;1;Samuels to Hussey, 1 run tossed up, he comes out and drives to long-off to get off the mark;
37.5;?;Samuels to Hussey, no run fired in full and flat, Hussey digs it back out to Samuels;
37.4;?;Samuels to Hussey, no run again he's struggling, driving to point;
37.3;?;Samuels to Hussey, no run flatter one, now he reaches and drives to Lara at mid-off;
37.2;?;Samuels to Hussey, no run tossed up, Hussey has to reach for it and drives back to Samuels;
37.1;1;Samuels to Hayden, 1 run there it is! Second hundred of the tournament for Hayden! Stands in his crease and drives one to mid-off, waits to see if the fielder can get to it, and then calls for the run. Superb effort, remember he took some 19 deliveries to get off the mark, and he's gotten here with a strikerate in the 90s. Great knock from Haydos.;
36.6;?;Powell to Hussey, no run back of a good length outside off stump, Hussey reaches for it and drives into the covers;
36.5;?;Powell to Hussey, no run driveable length on the stumps, Hussey does so but hits the nonstriker's stumps, had Powell gotten a finger to it Hayden was a goner;
36.4;?;Powell to Hussey, no run back of a length, moves in from leg to off and Hussey gets behind the line and defends to point;
36.3;?;Powell to Hussey, no run overpitched again and this time he drives straight to mid-off;
36.2;?;Powell to Hussey, no run overpitched outside off stump, Hussey drives straight to Sarwan in the covers;
36.1;1;Powell to Hayden, 1 run back of a length outside off stump, Hayden waits for it and dabs between cover and point for one to get to 99;
35.6;W;Samuels to Symonds, OUT edged and gone! Samuels fires one wide of off stump, Symonds stands there and looks to bring the bat down late to cheekily run it fine, but ends up with a thin edge that Ramdin neatly snaps up!;Andrew Symonds c ?Ramdin b Samuels 13 (22m 18b 1x4 0x6) SR: 72.22;
35.5;1;Samuels to Hayden, 1 run tossed up outside off stump, driven down to long-off for one;
35.4;2;Samuels to Hayden, 2 runs full on leg stump, clipped well through midwicket to calls of "HUSTLE, HUSTLE" and thats a well-run two;
35.3;?;Samuels to Hayden, no run flatter outside off stump, Hayden gets to it and drives straight to point;
35.2;1;Samuels to Symonds, 1 run flatter on off stump, flicked out to long-on for one;
35.1;2;Samuels to Symonds, 2 runs tossed up outside off, driven to long-off and they get two;
34.6;1;Bravo to Symonds, 1 run good length outside off stump, again Symonds runs it off the face of the angled bat and gets one to third man;
34.5;1;Bravo to Hayden, 1 run good length on middle and leg, Hayden gets well over it and flicks into midwicket for one;
34.4;1;Bravo to Symonds, 1 run back of a length and moving in from outside off stump, he plays it late and runs it down to third man to raise the 200;
34.3;4;Bravo to Symonds, FOUR runs slower one goes all wrong, short outside off stump and Symonds picks it up early, swatting it over the infield for four past mid-on;
34.2;?;Bravo to Symonds, no run back of a length on off stump, Symonds stands deep in his crease and pushes it back to Bravo;
34.1;1;Bravo to Hayden, 1 run good length on leg stump, Hayden drives to mid-on and calls for one immediately;
33.6;1;Samuels to Hayden, 1 run tossed up, he gets to the pitch and drives into the covers with soft hands to retain strike;
33.5;4;Samuels to Hayden, FOUR runs biff! Short, flat outside off stump and Hayden rocks back to flat-bat that powerfull down the ground for four and he moves into the nineties;
33.4;1;Samuels to Symonds, 1 run flat down leg stump, picked off the pads into midwicket for an easy single;
33.3;1;Samuels to Hayden, 1 run flat outside off stump, Hayden gets to the pitch and drives into the covers for one;
33.2;1;Samuels to Symonds, 1 run slower one outside off stump, Symonds waits for it and then dabs it to backward point for one;
33.1;?;Samuels to Symonds, no run tossed up, driven to Lara at mid-on;
32.6;2;Bravo to Hayden, 2 runs on the pads once again, and Hayden works it past square leg for a couple as Powell gives chase;
32.5;?;Bravo to Hayden, no run slower one comes out a full toss on leg stump, surprising Hayden, who hops up and keeps it down to midwicket, Symonds is well down the track and has to scamper back;
32.4;1;Bravo to Symonds, 1 run back of a length outside off stump, Symonds gets onto one knee, ducks somewhat, and swats it through square leg for one...odd but effective;
32.3;?;Bravo to Symonds, no run a tad fuller on middle and leg, Symonds on-drives to Lara at mid-on;
32.3;1w;Bravo to Symonds, 1 wide angled down the leg side off a length and its called wide, duly;
32.2;?;Bravo to Symonds, no run back of a length outside off stump, he stands up and defends with an inside-edge to square leg;
32.1;?;Bravo to Symonds, no run full on the pads, Symonds flicks but straight to square leg;
31.6;6;Samuels to Hayden, SIX runs he comes out, dancing down the track, Samuels drops it wide and short, Hayden goes through with his shot, one-handed, and somehow manages to get enough bat on it to send it high in the air between long-on and long-off!;
31.5;?;Samuels to Hayden, no run flat outside off stump, Hayden comes out and drives to cover;
31.4;1;Samuels to Symonds, 1 run again full down leg stump, Symonds gets off the mark with a nudge to short fine leg;
31.3;?;Samuels to Symonds, no run flat on leg stump, worked to square leg;
31.2;?;Samuels to Symonds, no run tossed up on off stump, Symonds defends back to Samuels;
31.1;1;Samuels to Hayden, 1 run looped up outside off stump, Hayden reaches for it and drives it between extra cover and long-off to collect a single;
30.6;?;Bravo to Symonds, no run good shout! Symonds stands rooted, and plays all over one that swings in from middle and off, clearly did too much to take leg stump, and Rauf shakes his head.;
30.5;W;Bravo to Clarke, OUT and Bravo gets his man! Clarke plays half-cock forward to one that moves in appreciably from outside off stump, gets rapped on the leg, everyone appeals and after a good thought umpire Rauf raises the dreaded finger;Michael Clarke lbw b Bravo 41 (71m 47b 4x4 0x6) SR: 87.23;
30.4;1;Bravo to Hayden, 1 run back of a length on leg stump once again, and Hayden coolly works it to square leg for one more;
30.3;1;Bravo to Clarke, 1 run too full on leg stump and Clarke flicks past square leg for one, Hayden says no the second as the fielder moves well;
30.2;1;Bravo to Hayden, 1 run good length on leg stump, Hayden waits for it and taps it into midwicket for another milked single;
30.1;1;Bravo to Clarke, 1 run drifts to leg and Clarke puts him away for one out to backward square leg;
29.6;2;Samuels to Hayden, 2 runs short and flat outside off stump, Hayden works it through midwicket for a very well-run two;
29.5;1;Samuels to Clarke, 1 run tossed up, Clarke gets forward and whips it to Lara at mid-on;
29.4;1;Samuels to Hayden, 1 run short and wide, he chops into the covers for one;
29.3;1;Samuels to Clarke, 1 run short, flat and Clarke makes room to cut past point for one;
29.2;?;Samuels to Clarke, no run tossed up on off stump, flicked but right to midwicket;
29.1;1;Samuels to Hayden, 1 run flat outside off stump, Hayden shuffles across and gets one to square leg easily;
28.6;2;Bravo to Clarke, 2 runs slower ball on off stump, Clarke gets over it and flicks it to square leg for two;
28.5;1;Bravo to Hayden, 1 run back of a length on leg stump again, easy pickings for Hayden, who works it to square leg for one;
28.4;1;Bravo to Clarke, 1 run back of a length on leg stump again, worked fine for one;
28.3;1;Bravo to Hayden, 1 run good length on middle and off, Clarke shuffles across and flicks it around the corner for one;
28.2;1;Bravo to Clarke, 1 run well bowled, the slower one almost in the blockhole, Clarke too backs away to leg and has to adjust to keep it out;
28.1;1;Bravo to Hayden, 1 run back of a length on leg stump, Hayden's already backed away and so he has to drive down the ground for one;
27.6;1;Gayle to Hayden, 1 run quick, flat and spinning into leg stump, Hayden waits for it and tucks it off the pads for one wide of square leg;
27.5;1;Gayle to Clarke, 1 run short and flat, Clarke makes room and slams it down to long-off for one;
27.4;1;Gayle to Hayden, 1 run a mis-hit as Hayden charges and has to adjust to the length and flicking with the inside-edge to short fine leg;
27.3;?;Gayle to Hayden, no run tossed up outside off stump, Hayden comes forward and defends to the covers;
27.2;2;Gayle to Hayden, 2 runs fired in flat, Hayden uses the feet and flicks into midwicket for easy runs again;
27.2;3nb;Gayle to Hayden, (no ball) 2 runs he oversteps, firing it down leg stump and Hayden helps it on its way;
27.1;4;Gayle to Hayden, FOUR runs hah! Hayden dances down the track and hammers this through midwicket for four!;
26.6;?;Bravo to Clarke, no run slower one, full on off stump, worked right to midwicket;
26.5;2;Bravo to Clarke, 2 runs good length on the stumps, he whips it through midwicket out in the wide open spaces, easy as they come;
26.4;4;Bravo to Clarke, FOUR runs gives himself room to smack this one in the gap between cover and mid-off for a thumping four!;
26.3;2;Bravo to Clarke, 2 runs short of a length on middle and leg, Clarke adjusts and semi-pulls through backward square for a well-judged two, helped by the fumble at fine leg;
26.2;1;Bravo to Hayden, 1 run on leg stump, Hayden tickles it to short fine leg for one;
26.1;1;Bravo to Clarke, 1 run back of a length outside off stump, Clarke drives past point out to the man on the ropes;
25.6;2;Gayle to Hayden, 2 runs spins into him from a length, he waits for it to come into him and opens the face to run it wide of Bravo at backward point, cheeky;
25.5;1;Gayle to Clarke, 1 run flatter one, Clarke waits for it and drives to mid-on for one;
25.4;1;Gayle to Hayden, 1 run flatter one, Hayden dances down to free the arms, drives out towards mid-off for one;
25.3;1;Gayle to Clarke, 1 run shorter one spins in, Clarke plays it late off the face of the bat to gully;
25.2;?;Gayle to Clarke, no run good length on off stump, driven back to Gayle;
25.1;?;Gayle to Clarke, no run short and flat on off stump, he goes back and punches to midwicket;
24.6;1;Collymore to Clarke, 1 run overpitched outside off stump, he uses the feet and comes out to square-drive wide of point out to third man;
24.5;?;Collymore to Clarke, no run good length outside off stump, Clarke gets to the pitch and drives right to Gayle in the covers;
24.4;?;Collymore to Clarke, no run short and wide, Clarke crunches hard but an acrobatic Smith at backward point collects it;
24.3;1lb;Collymore to Hayden, 1 leg bye he steps to leg, exposing the stumps, Collymore fires it in short on leg stump, Hayden has to adjust to dabble it off the pads for one to short fine leg;
24.2;?;Collymore to Hayden, no run back of a length on the stumps, this time he walks to off stump and taps it to the leg side but Collymore's quick to get to it;
24.1;2;Collymore to Hayden, 2 runs back of a length outside leg stump, Hayden tickles it past short fine leg for an easy brace;
23.6;1;Gayle to Hayden, 1 run fired in quicker on a length outside off stump, Hayden hops up and gets rapped on the pads outside the line, they appeal but thats not out due to the inside-edge and a run to boot as the ball trickles to point;
23.5;?;Gayle to Hayden, no run shorter and flatter outside off stump, Hayden gets behind it and defends back to Gayle;
23.4;1;Gayle to Clarke, 1 run flatter one outside off stump, Clarke waits for it and plays late towards gully;
23.3;1;Gayle to Hayden, 1 run short and wide, he rocks over it and cuts hard past backward point;
23.2;4;Gayle to Hayden, FOUR runs tossed up, he shimmies down and collects it one the full, driving smack straight down the ground between Gayle and the stumps for four and thats his fifty, well played, sir!;
23.1;2;Gayle to Hayden, 2 runs flatter one, Hayden dances down and flicks through midwicket for two;
22.6;4;Collymore to Clarke, FOUR runs fuller one now outside off stump, Clarke gets across and flicks superbly in the gap at mid-on to pick up four, really intelligently done;
22.5;?;Collymore to Clarke, no run back of a length outside off stump, Clarke gets across and drives straight to mid-on;
22.4;?;Collymore to Clarke, no run good length outside off stump, Clarke comes forward and drives to cover;
22.3;1;Collymore to Hayden, 1 run back of a length outside off stump, pushed off the back foot into the covers for one;
22.3;1w;Collymore to Hayden, 1 wide full ball down the stumps, Hayden looks to clip it, theres a noise and Ramdin takes it , then they all go up in appeal, umpire Rauf stands unmoved and then after a few seconds signals wide;
22.2;1;Collymore to Clarke, 1 run good length just outside off stump, Clarke lunges forward and with soft hands just drops it in front of the off side fielders and calls for the run;
22.1;1;Collymore to Hayden, 1 run dragged in short down leg stump, as if in anticipation that Hayden will dance down the track, and he pulls it down to fine leg for one;
21.6;1;Gayle to Hayden, 1 run shorter, flatter trajectory, Hayden has to adjust to drive towards mid-on;
21.6;1nb;Gayle to Hayden, (no ball) he oversteps, the ball is full and Hayden defends back to Gayle;
21.5;?;Gayle to Hayden, no run quicker one now, Hayden shuffles and looks to flick it away but gets beaten by the pace;
21.4;?;Gayle to Hayden, no run tossed up outside off stump, Hayden comes forward and defends;
21.3;?;Gayle to Hayden, no run flatter and fuller, Hayden defends it;
21.2;?;Gayle to Hayden, no run tossed up outside off stump, Hayden gets a leg well across and then shoulders arms as the ball spins in;
21.1;1;Gayle to Clarke, 1 run tossed up on off stump, Clarke shuffles and flicks across the line for one to midwicket;
20.6;4;Powell to Hayden, FOUR runs once more, he steps out of his crease, again Powell sees him and tries to drop short, but Hayden's all over it, pulling through midwicket and mid-on for another authoritative boundary;
20.5;?;Powell to Hayden, no run back of a length angled across him, he gets half forward and defends to cover;
20.4;?;Powell to Hayden, no run good length on the stumps, he defends back to Powell;
20.3;4;Powell to Hayden, FOUR runs now he steps down the track, Powell drops short, but Hayden has too much power on it, placing the jabbed pull over in the air between mid-on and midwicket for four;
20.2;?;Powell to Hayden, no run good length on off stump, Hayden shuffles to off and looks to flick through midwicket but doesnt time it well enough, ends up placing it to mid-on;
20.1;2;Powell to Hayden, 2 runs good length outside off stump, Hayden gets forward and drives in the off side gap and collects and easy couple as the sweeper collects it;
19.6;4;Collymore to Clarke, FOUR runs hello! Clarke shimmies down the track and collects a good length delivery on the full, helping himself to a lofted four down to the long-on ropes;
19.5;?;Collymore to Clarke, no run good length outside off stump, he gets to the pitch and drives well to mid-off;
19.4;?;Collymore to Clarke, no run back of a length on off stump, Clarke comes forward and drives back to Collymore;
19.3;?;Collymore to Clarke, no run good length outside off stump, Clarke drops the hands on it and runs it to backward point and sends Hayden back;
19.2;1;Collymore to Hayden, 1 run now he has a walk down the track, the ball is shorter than anticipated and he has to try and adjust, ends up flicking awkwardly to short fine leg;
19.1;?;Collymore to Hayden, no run back of a length outside off stump, he stands up and drives to cover;
18.6;1;Taylor to Hayden, 1 run from around the wicket, bangs in a shorter delivery which Hayden works to mid-on for another riskly single...these Australians are sure trying to get themselves run out today;
18.5;1;Taylor to Clarke, 1 run good length outside off stump, Clarke gets a good stride forward and places it into the cover, waits to see if Gayle can get to it, and when he doesnt Clarke calls for the run;
18.4;?;Taylor to Clarke, no run back of a length on the stumps, again worked to the man on the leg side;
18.3;4;Taylor to Clarke, FOUR runs good length on off stump, comes in, Clarke rolls the wrists well and works it past Lara, who misfields, and the ball trickles over the ropes past mid-on;
18.2;?;Taylor to Clarke, no run back of a length outside off stump, this time he gets well forward and drives to cover, though not with any perfect timing;
18.1;?;Taylor to Clarke, no run fuller one on off stump, Clarke gets over it and flicks straight to Samuels at midwicket, who fields well;
17.6;?;Collymore to Hayden, no run back of a length on the stumps, Hayden is again cramped for room and has to defend back to Collymore, who's bowled a very tidy over;
17.5;?;Collymore to Hayden, no run back of a length outside off stump, Hayden looks to come onto the front foot but has to adjust, playing it off the backfoot to point;
17.4;2;Collymore to Hayden, 2 runs short of a length on off stump, he waits for it and then rolls the wrists over it, placing it in the gap at midwicket for a well-run two;
17.3;?;Collymore to Hayden, no run back of a length on the stumps, played back to the bowler again;
17.2;?;Collymore to Hayden, no run good length on middle and leg, he's cramped for room and taps it back to Collymore's left;
17.1;?;Collymore to Hayden, no run good length on leg stump, worked back towards Collymore;
16.6;?;Taylor to Clarke, no run good length on the stumps, worked to the man at midwicket;
16.5;?;Taylor to Clarke, no run good length on off stump, Clarke shuffles and drives to Lara at mid-on, calls for another mad single, then sends Hayden back, and Lara's throw just misses! Hayden wouldve been out by a meter!;
16.4;?;Taylor to Clarke, no run back of a length on off stump, Clarke stands up and drives back to Taylor;
